date,Open,High,Low,Close,Adj Close,Volume,symbol
2023-09-01,66800,71000,66700,71000,71000,29738235,005930
2023-09-04,72900,72900,70700,71200,71200,26286495,005930
2023-09-05,70900,71500,70200,70700,70700,12330239,005930
2023-09-06,70700,70800,69700,70000,70000,11414620,005930
2023-09-07,70000,70600,69600,70400,70400,13741241,005930
2023-09-08,70200,70300,69600,70300,70300,10688118,005930
2023-09-11,70400,70800,70000,70800,70800,11785462,005930
2023-09-12,70800,71000,70400,70500,70500,11688599,005930
2023-09-13,71100,71600,70300,70900,70900,15955797,005930
2023-09-14,71200,71800,70800,71700,71700,21041407,005930
2023-09-15,71700,72300,71400,72000,72000,17823512,005930
2023-09-18,71300,71700,70200,70200,70200,16040727,005930
2023-09-19,70400,70800,69600,69800,69800,11820188,005930
2023-09-20,70000,70300,69500,69600,69600,10873015,005930
2023-09-21,69200,69800,68800,68900,68900,10796336,005930
2023-09-22,68300,68900,68300,68800,68800,9897840,005930
2023-09-25,68500,69700,68500,69400,69400,13582516,005930
2023-09-26,70000,70000,68400,68600,68600,13143470,005930
2023-09-27,68600,69100,68200,68400,68400,14886491,005930
2023-10-04,67400,67700,66700,67500,67500,23361149,005930
2023-10-05,67300,67400,66700,66700,66700,16108313,005930
2023-10-06,67100,67300,66000,66000,66000,14386527,005930
2023-10-10,66200,67600,66200,66400,66400,19889202,005930
2023-10-11,68600,69400,67900,68200,68200,25209349,005930
2023-10-12,68600,69700,68200,68900,68900,19311380,005930
2023-10-13,68000,68500,67700,68000,68000,9724086,005930
2023-10-16,67900,68500,66800,67300,67300,12599299,005930
2023-10-17,67700,69900,67400,69400,69400,17299253,005930
2023-10-18,68900,70500,68800,70500,70500,16493184,005930
2023-10-19,69700,70000,69400,69500,69500,13985012,005930
2023-10-20,68900,69200,68100,68800,68800,15204495,005930
2023-10-23,68700,69100,68200,68400,68400,11625959,005930
2023-10-24,68700,68800,67700,68500,68500,12791710,005930
2023-10-25,68800,68800,67900,68000,68000,10610703,005930
2023-10-26,67000,67900,66700,66700,66700,15517624,005930
2023-10-27,67100,67300,66700,67300,67300,11334726,005930
2023-10-30,66800,67800,66700,67300,67300,10139270,005930
2023-10-31,67600,68300,66900,66900,66900,14488892,005930
2023-11-01,67500,68900,67300,68600,68600,13775256,005930
2023-11-02,70000,70000,69400,69700,69700,16350031,005930
