cur_prc,trde_qty,trde_prica,dt,open_pric,high_pric,low_pric,upd_stkpc_tp,upd_rt,bic_inds_tp,sm_inds_tp,stk_infr,upd_stkpc_event,pred_close_pric
74700,16388222,1226725,20240809,75700,75800,74200,,,,,,,
75500,9839259,742668,20240812,75200,75900,74800,,,,,,,
76100,10716261,814879,20240813,76500,76600,75500,,,,,,,
77200,13246168,1023946,20240814,77400,77800,77000,,,,,,,
80200,22061478,1749786,20240816,79400,80200,78700,,,,,,,
78300,14146565,1112867,20240819,80100,80100,78000,,,,,,,
78900,10683836,846451,20240820,79500,79800,78700,,,,,,,
78300,7805598,610445,20240821,77900,78600,77800,,,,,,,
78300,8149101,637689,20240822,78700,78900,77800,,,,,,,
77700,9420306,733115,20240823,77700,78400,77500,,,,,,,
76100,15655938,1200212,20240826,78100,78200,76000,,,,,,,
75800,11130145,845521,20240827,75700,76500,75600,,,,,,,
76400,9794514,743267,20240828,75800,76400,75400,,,,,,,
74000,16884479,1250517,20240829,73600,74700,73500,,,,,,,
74300,16358520,1217839,20240830,74400,75000,74100,,,,,,,
74400,12641376,938130,20240902,74500,74700,73500,,,,,,,
72500,16314599,1195017,20240903,74100,74300,72500,,,,,,,
70000,27366563,1923752,20240904,69800,71100,69800,,,,,,,
69000,25686769,1795890,20240905,70100,71200,69000,,,,,,,
68900,19022299,1309834,20240906,69100,69700,68000,,,,,,,
67500,23263298,1566505,20240909,66900,68200,66600,,,,,,,
66200,30651376,2041162,20240910,67000,67300,66000,,,,,,,
64900,35809707,2325181,20240911,65100,65500,64200,,,,,,,
66300,35884106,2369441,20240912,66000,66600,65200,,,,,,,
64400,25045135,1621747,20240913,65000,65500,64300,,,,,,,
63100,49402713,3115926,20240919,64000,64400,62200,,,,,,,
63000,32746056,2086234,20240920,63800,64700,63000,,,,,,,
62600,28542376,1787974,20240923,62300,63500,62200,,,,,,,
63200,26957500,1695341,20240924,62800,63400,62400,,,,,,,
62200,28652438,1816598,20240925,63800,64200,62200,,,,,,,
64700,37566015,2417513,20240926,63900,64900,63700,,,,,,,
64200,28433030,1842322,20240927,64700,65400,64200,4,0.00,,,,,
